categories,subcategories,bedrooms,bathrooms,building_size,land_size,num_floors,furnished,geo_point,page_url,parent_url,ac_unit,balcony,yard,security,pool,price
house,"[""house"",""single-family-house""]",4,3,350.0,400.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/rumah-hoek-asri-taman-luas-shm-di-megapolitan-cine-168174251257.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,,,,,3100000000
house,"[""house"",""single-family-house""]",3,2,62.0,66.0,,,"[106.8747764,-6.367494]",https://www.lamudi.co.id/rumah-mewah-ala-eropa-lokasi-premium-dekat-tol-lrt-170757140012.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,yes,yes,yes,yes,,879500000
house,"[""house"",""single-family-house""]",4,4,202.0,162.0,,,"[106.88494179373,-6.4150131367322]",https://www.lamudi.co.id/rumah-view-kawasan-golf-170840154270.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,,,,,,5225000000
house,"[""house"",""single-family-house""]",2,1,50.0,79.0,,,"[1,1]",https://www.lamudi.co.id/cluster-one-gate-cash-kpr-raden-saleh-sukmajaya-de-170229653783.html,https://www.lamudi.co.id/west-java/depok/cilodong/house/buy/,,,yes,,,545000000
house,"[""house"",""single-family-house""]",3,1,32.0,55.0,,,"[106.78889,-6.43778]",https://www.lamudi.co.id/rumah-dicipayung-depok-design-terbaru-dekat-stasiu-17055632472.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,,,yes,yes,,380000000
house,"[""house"",""single-family-house""]",2,1,45.0,84.0,,,"[106.8747764,-6.367494]",https://www.lamudi.co.id/rumah-eksklusif-dekat-tol-cimanggis-depok-17028972658.html,https://www.lamudi.co.id/west-java/depok/cimanggis/house/buy/,,,yes,yes,,680000000
house,"[""house"",""single-family-house""]",3,2,60.0,70.0,2.0,,"[106.843995,-6.396921]",https://www.lamudi.co.id/cluster-minimalis-2-lantai-700-jtan-murah-lokasi-s-169625969292.html,https://www.lamudi.co.id/west-java/depok/sukmajaya/house/buy/,,,,,,700000000
house,"[""house"",""single-family-house""]",6,3,200.0,113.0,,,"[106.7837,-6.3314]",https://www.lamudi.co.id/rumah-dan-harganya-bagus-dalam-town-house-cinere-d-170903118470.html,https://www.lamudi.co.id/west-java/depok/cinere/house/buy/,,yes,yes,yes,,1600000000
house,"[""house"",""single-family-house""]",2,1,27.0,42.0,,,"[106.77444,-6.40278]",https://www.lamudi.co.id/hunian-tanpa-riba-cluster-syariah-al-ihsan-residen-16916376129.html,https://www.lamudi.co.id/west-java/depok/sawangan-1/house/buy/,,,yes,yes,,355000000
house,"[""house"",""townhouse""]",2,1,27.0,32.0,,,"[106.78889,-6.43778]",https://www.lamudi.co.id/rumah-murah-di-depok-surat-shm-171024787757.html,https://www.lamudi.co.id/west-java/depok/cipayung-2/house/buy/,yes,yes,yes,yes,,170000000
house,"[""house"",""single-family-house""]",3,2,60.0,60.0,,,"[106.8118296,-6.4452406]",https://www.lamudi.co.id/rumah-murah-2-lantai-d-citayam-bebas-request-tampa-170317247691.html,https://www.lamudi.co.id/west-java/depok/citayam/house/buy/,,,yes,yes,,550000000
house,"[""house"",""single-family-house""]",2,1,42.0,32.0,,,"[106.7761,-6.3606]",https://www.lamudi.co.id/cluster-eksklusif-para-millenial-mulai-500-jutaan-169416047891.html,https://www.lamudi.co.id/west-java/depok/limo/house/buy/,,,yes,yes,,534000000
