lokasi,kamar_tidur,kamar_mandi,luas_bangunan,luas_lahan,keamanan24jam,taman,balcony,AC,harga
sawangan,2,1,38.0,68.0,yes,yes,yes,yes,599000000
sawangan,2,1,38.0,68.0,yes,yes,no,no,598000000
cimanggis,2,1,40.0,62.0,yes,yes,no,yes,500000000
cinere,3,3,78.0,101.0,yes,yes,yes,yes,900000000
sawangan,3,2,44.0,57.0,yes,yes,no,yes,436000000
cilodong,2,2,40.0,68.0,yes,yes,yes,no,588806000
cilodong,2,1,42.0,62.0,no,no,no,no,600000000
sawangan,2,1,32.0,60.0,yes,yes,no,yes,348000000
cilodong,2,1,40.0,94.0,no,no,no,yes,670000000
cilodong,4,1,58.0,98.0,no,no,no,no,780000000
sukmajaya,3,3,70.0,80.0,yes,yes,yes,yes,997000000
cilodong,3,2,70.0,120.0,no,no,no,no,1000000000
sawangan,2,1,45.0,66.0,no,yes,no,yes,484000000
cimanggis,3,2,72.0,72.0,yes,yes,yes,no,770000000
beji,2,2,69.0,99.0,yes,no,no,no,900000000
limo,4,3,110.0,100.0,no,no,no,no,1300000000
depok,3,3,100.0,89.0,yes,yes,yes,yes,1100000000
bojongsari,2,1,45.0,78.0,no,yes,no,no,800000000
cimanggis,3,2,93.0,72.0,yes,no,no,no,1290000000
cipayung,2,1,36.0,72.0,yes,yes,no,yes,500000000
sawangan,2,1,42.0,60.0,yes,yes,yes,yes,445000000
pancoran mas,3,2,75.0,72.0,no,yes,no,no,995000000
sukmajaya,3,3,100.0,95.0,yes,yes,yes,yes,950000000
cilodong,2,2,60.0,82.0,yes,yes,no,yes,682000000
cilodong,2,1,40.0,72.0,no,no,no,no,450000000
pancoran mas,3,2,82.0,129.0,no,yes,no,yes,680000000
sawangan,3,3,115.0,120.0,no,yes,no,yes,1335000000
tapos,3,2,30.0,60.0,no,no,no,no,575400000
beji,3,3,130.0,97.0,no,yes,no,yes,1495000000
cimanggis,3,2,82.0,60.0,no,yes,yes,yes,850000000
cimanggis,3,2,54.0,58.0,yes,yes,yes,no,741000000
cimanggis,2,1,48.0,78.0,yes,yes,no,yes,500000000
cimanggis,2,1,36.0,62.0,yes,yes,no,no,425000000
cilodong,2,1,40.0,61.0,no,yes,no,no,610000000
pancoran mas,3,2,72.0,65.0,yes,yes,yes,yes,825000000
sawangan,2,1,42.0,72.0,yes,yes,yes,yes,451000000
sukmajaya,3,3,80.0,64.0,no,no,no,no,850000000
sawangan,2,1,46.0,84.0,yes,yes,no,no,550000000
cipayung,2,1,52.0,62.0,no,no,no,no,250000000
cimanggis,3,2,61.0,78.0,no,no,yes,no,958000000
pancoran mas,3,4,105.0,72.0,no,no,no,no,1150000000
sukmajaya,3,3,80.0,60.0,yes,yes,yes,yes,850000000
sawangan,2,1,45.0,82.0,no,no,no,no,725000000
bojongsari,2,1,42.0,72.0,yes,yes,no,no,780000000
cilodong,2,1,50.0,98.0,yes,yes,no,no,929000000
bojongsari,3,3,91.0,124.0,yes,yes,no,no,1816000000
cilodong,2,1,45.0,84.0,no,no,no,no,800000000
bojongsari,3,1,62.0,120.0,yes,yes,no,no,725000000
depok,3,3,140.0,112.0,no,no,no,no,1600000000
tapos,2,2,46.0,60.0,yes,yes,yes,no,667000000
cimanggis,3,2,64.0,55.0,yes,yes,no,yes,680000000
pancoran mas,4,3,114.0,86.0,no,no,no,no,1400000000
cipayung,2,1,45.0,70.0,no,yes,no,no,355000000
bojongsari,3,2,100.0,89.0,no,no,no,no,1200000000
beji,4,2,90.0,107.0,no,no,no,no,750000000
sawangan,3,2,63.0,75.0,yes,yes,yes,yes,714500000
sawangan,3,2,98.0,83.0,no,yes,yes,no,790000000
tapos,2,1,40.0,60.0,yes,yes,no,yes,499999999
sukmajaya,2,2,45.0,30.0,yes,yes,no,no,698000000
bojongsari,2,1,48.0,69.0,no,no,no,no,543000000
pancoran mas,3,3,70.0,96.0,no,yes,no,yes,1050000000
beji,3,2,70.0,50.0,no,no,no,no,900000000
beji,3,3,130.0,77.0,no,yes,no,no,1525000000
pancoran mas,3,2,60.0,50.0,no,yes,no,yes,590000000
cilodong,2,2,40.0,66.0,yes,yes,no,no,608000000
cilodong,2,1,36.0,50.0,yes,yes,no,no,500000000
sawangan,3,2,56.0,68.0,yes,yes,yes,yes,804400600
cipayung,2,1,48.0,83.0,yes,yes,yes,yes,774000000
pancoran mas,3,2,100.0,70.0,no,no,no,no,1150000000
sawangan,2,1,27.0,40.0,no,no,no,no,200000000
bojongsari,2,1,38.0,60.0,yes,yes,yes,no,718000000
cilodong,2,2,60.0,86.0,yes,yes,no,yes,650000000
cimanggis,3,2,68.0,65.0,yes,yes,yes,yes,799000000
depok,2,1,45.0,75.0,no,no,no,no,250000000
bojongsari,3,1,52.0,60.0,no,no,no,no,629000000
pancoran mas,3,2,70.0,60.0,no,no,no,no,780000000
cinere,3,2,75.0,96.0,no,no,no,no,999000000
cilodong,3,3,120.0,90.0,yes,no,yes,yes,1100000000
bojongsari,4,4,97.0,107.0,yes,yes,yes,yes,1574000000
pancoran mas,2,2,40.0,50.0,no,no,no,no,503000000
sukmajaya,2,1,50.0,90.0,no,no,no,no,1100000000
pancoran mas,2,1,38.0,70.0,no,no,no,no,513500000
cimanggis,2,3,78.0,98.0,yes,yes,no,yes,1170000000
cilodong,3,2,90.0,119.0,yes,yes,no,no,870000000
cilodong,2,1,45.0,90.0,yes,yes,yes,yes,670000000
cilodong,2,1,50.0,72.0,yes,yes,no,no,600000000
pancoran mas,2,1,50.0,70.0,no,yes,no,yes,725000000
sukmajaya,4,3,145.0,115.0,yes,no,no,no,1560000000
cilodong,3,2,46.0,60.0,yes,yes,no,no,584000000
depok,3,3,70.0,70.0,no,no,no,no,1250000000
depok,2,1,36.0,60.0,no,no,no,no,215000000
cimanggis,3,2,72.0,50.0,no,yes,no,yes,600000000
cilodong,3,2,80.0,80.0,no,no,no,no,950000000
bojongsari,2,1,39.0,72.0,yes,yes,no,no,440000000
cimanggis,3,2,70.0,78.0,no,no,no,no,1099000000
cilodong,2,2,50.0,74.0,yes,yes,no,yes,680000000
cinere,2,1,45.0,125.0,yes,no,no,no,795000000
cilodong,2,1,38.0,78.0,yes,yes,no,no,690000000
beji,2,2,42.0,44.0,no,no,no,no,773382434
cilodong,3,2,46.0,40.0,yes,yes,yes,no,501000000
beji,3,2,60.0,60.0,no,no,yes,yes,750000000
sawangan,2,1,42.0,52.0,yes,yes,no,yes,387000000
beji,3,3,130.0,98.0,no,yes,yes,no,1300000000
depok,4,3,120.0,90.0,no,no,no,no,1250000000
cilodong,3,2,90.0,90.0,yes,yes,yes,yes,875000000
sawangan,2,1,38.0,60.0,yes,yes,no,no,350000000
sawangan,2,1,30.0,60.0,no,no,no,no,275000000
cilodong,2,2,46.0,60.0,yes,yes,yes,no,584000000
cinere,3,2,56.0,66.0,no,yes,no,yes,725000000
pancoran mas,3,2,56.0,78.0,no,yes,no,yes,640000000
tapos,2,2,46.0,60.0,yes,yes,no,no,677000000
cipayung,2,1,48.0,64.0,no,no,no,no,414000000
cipayung,2,2,45.0,47.0,no,no,no,no,215000000
pancoran mas,3,3,145.0,115.0,yes,yes,yes,no,1560000000
pancoran mas,2,1,40.0,66.0,yes,yes,no,no,515000000
bojongsari,3,3,97.0,101.0,yes,yes,yes,no,1624000000
