rumah_url,rumah_nama,rumah_lokasi,rumah_harga,rumah_kamar_tidur,rumah_kamar_mandi,rumah_luas_bangunan,rumah_luas_lahan,rumah_lahan_parkir,rumah_jumlah_lantai,rumah_AC,rumah_taman,rumah_keamanan,rumah_balcony,rumah_fully_furnished,rumah_kolam_renang
https://www.lamudi.co.id/dijual-rumah-2-lantai-dp-0-dekat-pemerintahan-kota-167144332911.html,Rumah Tanpa DP dekat Stasiun Pasar Depok,"Jatimulya, Depok",Rp 637.450.000,3,2,54,60,1,,,yes,yes,yes,,
https://www.lamudi.co.id/rumah-1-5-lantai-bergaya-jepang-dekat-stasiun-kere-167236519830.html,"RUMAH 1,5 LANTAI BERGAYA JEPANG DEKAT STASIUN KERETA DEPOK",Depok,Rp 695.000.000,2,1,45,68,1,,yes,,yes,,,
https://www.lamudi.co.id/mau-rumah-seken-dipinggir-jalan-raya-bogor.html,Mau Rumah Seken dipinggir Jalan Raya Bogor ?,"DMarco Diamond Cluster Casablanca Cilodong, Depok",Rp 999.350.000,2,1,34,76,1,1,yes,yes,yes,,,yes
https://www.lamudi.co.id/di-jual-rumah-mewah-siapa-huni-bebas-banjir-bangun-166998467636.html,di jual Rumah mewah siapa huni bebas bajir lokasi Strategis,"jl Mandor Sanun Harapan Jaya Kalimulya, Depok",Rp 670.000.000,3,2,60,72,2,,,yes,yes,yes,,
https://www.lamudi.co.id/shila-at-sawangan-cluster-lake-series-laguna-tipe-167168553588.html,Shila at Sawangan Cluster Lake Series Laguna Tipe Mondrian,"Jl. Golf No.7, RT.4/RW.7, Sawangan Lama Sawangan, Depok",Rp 1.944.593.000,3,3,111,98,2,,,yes,yes,yes,,
https://www.lamudi.co.id/rumah-murah-dekat-tol-cimanggis-pinggir-jalan-raya-167237972837.html,Rumah Dekat Tol Cimanggis Pinggir Jalan Raya Tapos Cilangkap,"Cilangkap, Depok",Rp 490.000.000,2,1,40,57,1,,yes,yes,yes,yes,,
https://www.lamudi.co.id/dijual-rumah-siap-huni-di-komplek-greenland-forest-167230627872.html,Dijual Rumah Siap Huni di Komplek Greenland Forestpark Residence,"GREENLAND FORESTPARK RESIDENCE BLOK B NO.5 RT.02 RW.13. CURUG- BOJONGSARI DEPOK JAWA BARAT 16517 Curug, Depok",Rp 550.000.000,2,1,50,73,,,,,,,,
https://www.lamudi.co.id/hunian-asri-lokasi-strategis-di-sawangan-dp-10jt-c-167232720972.html,Hunian Asri Lokasi Strategis di Sawangan DP 10jt Cicilan 3Jutaan,"Sawangan, Depok",Rp 585.000.000,2,1,40,60,,,,,,,,
https://www.lamudi.co.id/rumah-mewah-di-telaga-golf-sawangan-2-lantai-strat-167228621717.html,"Rumah Mewah T80/109 di Telaga golf Sawangan, 2 lantai, Asri, Strategis","Sawangan, Depok",Rp 1.195.000.000,3,2,80,109,15,,,yes,yes,yes,,
https://www.lamudi.co.id/miliki-hunian-cantik-2-lt-lingkungan-islami-di-saw-167221987661.html,Miliki Hunian Cantik 2 LT Lingkungan Islami di Sawangan Depok 400jutan,"Jl. Panggulan Pengasinan Depok Sawangan, Depok",Rp 496.000.000,2,1,40,54,1,2,,,yes,yes,,
https://www.lamudi.co.id/rumah-2-lantai-ready-stok-1-miliaran-dekat-alun-al-167222470647.html,Rumah 2 lantai ready stok 1 Miliaran dekat alun alun depok,"Cilodong, Depok",Rp 1.020.600.000,3,2,80,87,,,yes,,,,,
