"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_fully_furnished","rumah_luas_bangunan","rumah_AC","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_jumlah_lantai"
"https://www.lamudi.co.id/adk88-cluster-2-lt-green-minimalis-elegan-akses-te-166998947651.html","Adk88.Cluster 2 LT Green Minimalis Elegan Akses Terbaik Beji Depok","Kukusan Beji Depok Kukusan, Depok","Rp 1.050.500.000","60","1","3","2","","80","","","","","",""
"https://www.lamudi.co.id/rumah-murah-dekat-pintu-tol-cimanggis-depok-166034784475.html","Rumah 2 lantai termurah dekat pintu Tol Cimanggis Depok","Jalan Raya Pekapuran Cimanggis Depok Cimanggis, Depok","Rp 755.000.000","63","","3","2","","62","","","","","",""
"https://www.lamudi.co.id/rumah-murah-di-depok-pinggir-jalan-raya-cimanggis-166039335144.html","Rumah terjangkau di Depok pinggir jalan raya dekat Tol Cimanggis Depok","Cimanggis, Depok","Rp 775.000.000","3","1","3","2","","56","","yes","yes","","",""
"https://www.lamudi.co.id/mini-home-tambun-dekat-kantor-lurah-mekarsari.html","Apartkos di area vokasi univeŕsitas indonesia","beji, depok Depok","Rp 2.899.000.000","99","","13","13","","250","yes","","yes","","",""
"https://www.lamudi.co.id/fbr-rumah-second-terawat-semi-furnished-samping-pi-166757325595.html","fbr.Rumah Second terawat Semi Furnished Samping Pintu Tol Desari Bdn","pancoran mas depok Pancoran Mas, Depok","Rp 1.700.000.000","150","2","4","4","","200","","","","","",""
"https://www.lamudi.co.id/cukup-booking-gk-pake-depe-16674690125.html","cukup booking gk pake depe","Cilodong, Depok","Rp 528.000.000","66","","2","1","","40","yes","yes","yes","","",""
"https://www.lamudi.co.id/cluster-jepang-modern-terstrategis-fasilitas-terlengkap-bisa-kpr.html","Cluster Jepang Modern, Terstrategis, Fasilitas Terlengkap, Bisa KPR","Jl. Raya Bojongsari No.53 Bojongsari, Depok","Rp 2.000.000.000","140","2","3","4","","109","","yes","yes","yes","yes","2"
"https://www.lamudi.co.id/rumah-modern-minimalis-di-kawasan-depok-166727394538.html","Rumah Modern Minimalis Di Kawasan Depok","Jl. Kp. Cilangkap No.Rt 01/11, Cilangkap, Kec. Tapos, Kota Depok, Jawa Barat 16458 Depok","Rp 405.000.000","60","","2","1","","36","","yes","","","",""
"https://www.lamudi.co.id/rumah-secondary-dalam-perumahan-kemang-swatama-dep-166028579126.html","Rumah Secondary Dalam Perumahan Kemang Swatama Depok","Depok, Depok","Rp 900.000.000","104","","3","1","","114","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-minimalis-dalam-cluster-dekat-stasi-165908132479.html","Rumah 2 Lantai Minimalis Dalam Cluster Dekat Stasiun Kereta Depok","Cilodong, Depok","Rp 825.000.000","65","","3","2","","54","","","","","",""
