"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_kolam_renang","rumah_balcony","rumah_keamanan","rumah_lahan_parkir","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-dijual-tanpa-dp-167282541999.html","Rumah dijual Tanpa DP","Cilodong, Depok","Rp 900.000.000","3","3","85","75","yes","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-2-lantai-pinggir-jalan-utama-hanya-5-menit-k-166555707211.html","Rumah 2 Lantai Pinggir Jalan Utama Hanya 5 Menit Kepintu Tol","Jalan Leuwinanggung, Depok, Indonesia Cimanggis, Depok","Rp 875.000.000","3","2","60","70","yes","yes","","yes","yes","5","",""
"https://www.lamudi.co.id/mudah-punya-rumah-kpr-modal-5-jt-rumah-ready-stock-166814688679.html","MUDAH PUNYA RUMAH, KPR MODAL 5 JT, RUMAH READY STOCK ARCO, DEPOK","Jalan Arco Raya & Jalan Desa Duren Seribu, Depok, Indonesia Sawangan, Depok","Rp 415.000.000","2","1","33","66","yes","","","","yes","1","",""
"https://www.lamudi.co.id/dijual-rumah-the-address-siap-huni-harga-terbaik.html","Dijual Rumah The Address Siap Huni Harga Terbaik","Leuwinanggung Jati Sampurna Cimanggis, Depok","Rp 750.000.000","2","1","55","120","","","","","","1","1",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-kavling-leonel-jual-cepat-harga-nego.html","Rumah baru siap huni kavling leonel jual cepat harga nego","Citayam, Depok","Rp 235.000.000","2","1","55","55","yes","","","","","","",""
"https://www.lamudi.co.id/dijual-cepat-rumah-baru-di-jual-165949825935.html","DIJUAL CEPAT rumah baru di jual","Sawangan, Depok","Rp 520.000.000","3","2","72","94","","","","","","","",""
"https://www.lamudi.co.id/rumah-cluster-dekat-stasiun-citayam-depok-jakarta-selatan.html","Rumah Cluster dekat Stasiun Citayam Depok Jakarta Selatan","Citayam, Depok","Rp 396.000.000","2","1","","45","","","","","","","",""
"https://www.lamudi.co.id/hunian-strategis-500-jutaan-siap-huni-seberang-tol-sawangan-pancoran-mas-5.html","Hunian Strategis 500 Jutaan Siap Huni, Seberang Tol Sawangan - Pancoran Mas","Beji, Depok","Rp 551.550.000","2","1","45","66","","yes","","","","1","",""
"https://www.lamudi.co.id/rumah-1lantai-depok-tanpa-dp-167273355010.html","Rumah 1Lantai depok Tanpa DP","Kalimulya, Depok","Rp 650.000.000","2","2","60","81","yes","yes","","","yes","","",""
"https://www.lamudi.co.id/rumah-bedahan-sawangan-depok-nego-sd-deal-butuh-uang-bangeet.html","RUMAH BEDAHAN SAWANGAN DEPOK NEGO SD DEAL BUTUH UANG BANGEET","Bedahan Sawangan Depok Sawangan, Depok","Rp 1.150.000.000","3","3","90","217","","yes","","","","3","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-2-lantai-akses-lega-3-menit-ke-167281475224.html","Pancoran mas, rumah 2 lantai akses lega 3 menit ke tol","Pancoran Mas, Depok","Rp 885.000.000","3","3","85","54","yes","yes","","","","","",""
"https://www.lamudi.co.id/dekat-pondok-cabe-rumah-ekslusif-di-cinangka-167281476018.html","Dekat pondok cabe , rumah EKSLUSIF di cinangka","Pancoran Mas, Depok","Rp 885.000.000","3","2","60","72","yes","yes","","","","","",""
"https://www.lamudi.co.id/sawangan-rumah-bata-merah-cluster-ekslusif-167281476683.html","Sawangan, rumah bata merah cluster ekslusif","Beji, Depok","Rp 1.050.000.000","3","3","65","96","yes","yes","yes","","","","",""
"https://www.lamudi.co.id/pancoran-mas-rumah-dekat-tol-ada-3-pilihan-fasad-167281480027.html","Pancoran mas, rumah dekat tol , ada 3 pilihan fasad","Pancoran Mas, Depok","Rp 780.000.000","3","2","72","60","yes","yes","","","","","",""
"https://www.lamudi.co.id/cinangka-dekat-tol-pamulang-dp-10juta-data-di-bant-167281476557.html","Cinangka, dekat tol pamulang dp 10juta,data di bantu","Pancoran Mas, Depok","Rp 730.000.000","3","2","62","55","yes","yes","","","","","",""
"https://www.lamudi.co.id/beji-cluster-ekslusif-akses-bagus-167281478321.html","Beji, cluster ekslusif akses bagus","Limo, Depok","Rp 1.495.000.000","3","3","130","95","yes","yes","","","","","",""
