"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_keamanan","rumah_lahan_parkir","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/hunian-2-lantai-dengan-model-tropical-resort-di-sa-167193987913.html","Hunian 2 Lantai dengan Model Tropical Resort di Sawangan","Jl. Raya Curug No 30 Depok","Rp 1.122.000.000","3","2","73","66","","yes","yes","6","yes","","yes",""
"https://www.lamudi.co.id/brand-new-cluster-3-lantai-pinggir-tol-krukut-anta-166519416461.html","Brand New Cluster 3 Lantai Pinggir TOL Krukut Antasari Jaksel Depok","Limo, Depok","Rp 1.722.000.000","3","3","155","84","yes","yes","yes","4","yes","","",""
"https://www.lamudi.co.id/rumah-dijual-cluster-eklusif-skandinavian-lokasi-d-167247372852.html","Rumah dijual cluster eklusif skandinavian lokasi depok","Cilodong, Depok","Rp 950.000.000","3","2","80","80","","yes","yes","1","","","",""
"https://www.lamudi.co.id/hunian-1-lantai-dengan-model-tropical-resort-167262998821.html","Hunian 1 Lantai dengan Model Tropical Resort","Jl. Raya Curug No 30 Depok","Rp 802.000.000","2","1","38","74","","yes","yes","5","yes","","yes",""
"https://www.lamudi.co.id/new-clusterscandinavian-dekat-kampus-upn-limodepok-166782158343.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-perumahan-raffless-hills-cibubur-167229834285.html","Rumah Perumahan Raffless Hills Cibubur","komplek raffless hills Depok","Rp 3.600.000.000","4","3","174","273","","","yes","","","","",""
"https://www.lamudi.co.id/rumah-secondary-tanah-luas-lokasi-tenang-nyaman-sa-166876658574.html","Rumah Secondary Tanah Luas Lokasi Tenang Nyaman Sawangan Depok","Jl. Herman Tajir No.RT.02/05, Curug, Bojongsari, Depok City, West Java 16517 Sawangan, Depok","Rp 750.000.000","2","2","80","150","","","","1","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-siap-huni-gk-pakai-dp-0-free-biaya-166496259585.html","Rumah 2 lantai siap huni gk pakai DP 0,free biaya surat surat","Cilodong, Depok","Rp 925.000.000","3","3","80","83","yes","yes","","","","","",""
"https://www.lamudi.co.id/rumah-siap-huni-gk-pake-depe-166548230960.html","Rumah siap huni gk pake depe","Cilodong, Depok","Rp 1.050.000.000","3","3","90","78","yes","yes","yes","2","yes","","",""
"https://www.lamudi.co.id/cukup-booking-aj-langsung-akad-166554620812.html","Cukup booking aj langsung Akad","Kalimulya, Depok","Rp 651.000.000","2","2","60","87","","yes","yes","1","","","",""
