"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_taman","rumah_lahan_parkir","rumah_keamanan","rumah_jumlah_lantai","rumah_balcony","rumah_kolam_renang"
"https://www.lamudi.co.id/private-cluster-2-lt-ready-stok-selangkah-ke-gerbang-tol-cijago-2.html","Private Cluster 2 LT Ready Stok selangkah ke Gerbang Tol Cijago","Jl. Kemang Pekapuran Sukatani Depok Depok","Rp 825.000.000","3","2","75","60","yes","yes","","yes","2","yes",""
"https://www.lamudi.co.id/cluster-classic-modern-di-depok-167172094811.html","cluster classic modern di depok","Depok, Depok","Rp 750.000.000","3","2","60","50","","","","","","",""
"https://www.lamudi.co.id/di-jual-rumah-2-lantai-harga-minimalis-di-depok-166695641248.html","di Jual Rumah 2 lantai harga minimalis di depok, nempel GDC","Cilodong, Depok, JABODETABEK, Indonesia Cilodong, Depok","Rp 465.100.000","2","2","4","43","","","","","","yes",""
"https://www.lamudi.co.id/jual-rumah-di-cilodong-depok-dekat-gdc-166712971762.html","Rumah di Jual lokasi Cilodong, Depok, nempel GDC","Cilodong, Dekat GDC, Depok, Jawa barat Cilodong, Depok","Rp 497.000.000","2","2","40","47","","","","","","",""
"https://www.lamudi.co.id/rumah-dekat-tol-cijago-nuansa-bali-banyak-bonus-ny-166039330186.html","Rumah dekat Tol Cijago nuansa Bali banyak bonus nya di Cimanggis","Pekapuran Cimanggis Depok Cimanggis, Depok","Rp 775.000.000","3","2","56","63","yes","yes","","yes","","",""
"https://www.lamudi.co.id/rumah-dijual-dekat-stasiun-depok-lama-dan-tol-marg-166039330576.html","Rumah minimalis 7 menit ke stasiun Depok lama dan jalan Margonda raya","Jalan KP Parung serab Tirtajaya Sukmajaya Depok Sukmajaya, Depok","Rp 850.000.000","3","2","66","66","","yes","1","","","",""
"https://www.lamudi.co.id/cuma-boking-3-juta-lokasi-dekat-stasiun-di-kalimul-166039336181.html","Rumah baru Boking 3 juta dekat stasiun di Kalimulya Cilodong Depok","Cilodong, Depok","Rp 900.000.000","3","3","70","75","","yes","","","","",""
"https://www.lamudi.co.id/rumah-dijual-dekat-stasiun-dan-tol-ada-4-kamar-di-166039336685.html","Rumah dijual dekat stasiun dan Tol ada 4 kamar di Mampang Panmas Depok","Mampang Pancoran Mas Pancoran Mas, Depok","Rp 950.000.000","4","3","110","82","yes","yes","2","yes","","",""
"https://www.lamudi.co.id/rumah-di-cilodong-depok-akses-boulevard-gdc-kalimu-166124603411.html","Rumah baru termurah bata merah samping Alun Alun di Boulevard GDC","Alun Alun GDC Depok Cilodong, Depok","Rp 975.000.000","3","2","64","84","yes","","2","yes","","",""
"https://www.lamudi.co.id/rumah-gaya-clasic-free-all-biaya2-dekat-gdc-depok-16588782019.html","Rumah gaya clasic free all biaya2 dekat GDC depok","Cilodong, Depok","Rp 975.200.000","3","2","64","84","","yes","","yes","","yes",""
"https://www.lamudi.co.id/rumah-kebun-siap-huni-sawangan-depok-cocok-untuk-v-166903200414.html","Rumah Kebun siap huni, sawangan Depok cocok untuk villa, banyak pohon.","Jalan Raya Sawangan, Depok, Indonesia Sawangan, Depok","Rp 20.000.000.000","6","3","372","3300","","yes","3","","","yes",""
"https://www.lamudi.co.id/ad204-new-cluster-1lantai-3km-ke-pintu-tol-cibubur-166735050929.html","Ad204.New Cluster 2Lantai 3KM ke Pintu Tol Cibubur Di Cimanggis Depok","Cimanggis Depok Depok","Rp 1.090.566.600","3","2","70","81","","","1","","","",""
"https://www.lamudi.co.id/ad208-new-cluster-2-lantai-akses-jln-2-mobil-dkt-p-166735605479.html","Ad208.New Cluster 2 Lantai Akses Jln 2 mobil dkt pintu tol Cibubur","Cibubur Cimanggis Depok Cimanggis, Depok","Rp 1.382.000.000","3","2","88","71","","","1","","","",""
"https://www.lamudi.co.id/p202-new-cluster-lokasi-sangat-strategis-dkt-ke-st-166800413137.html","P202.New Cluster lokasi sangat strategis dkt ke Stasiun di Cilodong","Cilodong Depok Cilodong, Depok","Rp 670.500.000","2","1","45","78","","","1","","","",""
"https://www.lamudi.co.id/rumah-tepi-anak-danau-166822777577.html","Rumah tepi anak danau","Sawangan, Depok","Rp 2.900.000.000","4","4","179","144","yes","yes","2","yes","","yes","yes"
"https://www.lamudi.co.id/dijual-rumah-di-tamansari-puri-bali-167221071481.html","Dijual Rumah di Tamansari Puri Bali","Bojongsari, Depok","Rp 1.100.000.000","5","2","107","159","","","","","","",""
"https://www.lamudi.co.id/hanya-5-menit-ke-gerbang-tol-limo-cluster-cinere-m-167156880184.html","Hanya 5 Menit ke Gerbang Tol Limo, Cluster Cinere Modern","Limo, Depok","Rp 1.475.000.000","5","3","150","151","","","","yes","","",""
"https://www.lamudi.co.id/rumah-strategis-hanya-5-menit-ke-stasiun-ka-depok-167157009298.html","Rumah Strategis Hanya 5 Menit ke Stasiun KA Depok","Sukmajaya, Depok","Rp 1.560.000.000","4","3","145","115","","","","yes","","",""
"https://www.lamudi.co.id/rumah-cluster-modern-ada-sport-club-dibojongsari-depok.html","Rumah cluster modern ada sport club dibojongsari depok","Bojongsari, Depok","Rp 780.000.000","2","1","45","90","","yes","2","yes","","","yes"
"https://www.lamudi.co.id/dijual-rumah-jl-nusantara-raya-kel-harjamukti-kec-167226636638.html","Dijual Rumah Jl.Nusantara Raya, Kel. Harjamukti Kec. Cimanggis Depok","Cimanggis, Depok","Rp 3.950.000.000","5","6","450","480","","","","","","",""
"https://www.lamudi.co.id/rumah-tujuh-ratus-jutaan-dilingkungan-perumahan-me-166961891160.html","Rumah Tujuh Ratus Jutaan dilingkungan Perumahan Mewah Ciherang","Cimanggis Cimanggis, Depok","Rp 740.000.000","3","2","63","55","","","","","","",""
"https://www.lamudi.co.id/rumah-murah-500jutaan-di-cilodong-depok-167012918246.html","Rumah murah 500jutaan di Cilodong_Depok","Cilodong, Depok","Rp 532.000.000","2","1","40","56","","","1","","","",""
