"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_taman","rumah_AC","rumah_keamanan","rumah_balcony","rumah_jumlah_lantai","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/perumah-resident-depok-167157260612.html","perumah resident depok","Cipayung, Depok","Rp 210.000.000","40","","2","1","30","","yes","","","","",""
"https://www.lamudi.co.id/hunian-murah-500-jtan-2lt-strategis-di-grand-depok-16710737155.html","Hunian Murah 500 Jtan 2Lt Strategis Di Grand depok City Depok","Jalan Boulevard Grand Depok City & Jalan Raya Ksu Parung Serab, Depok 16412, Indonesia Cilodong, Depok","Rp 584.000.000","60","1","2","2","46","yes","","yes","yes","","",""
"https://www.lamudi.co.id/cluster-baru-2-lantai-790jt-di-radar-auri-cimanggis-depok.html","Cluster baru 2 lantai 790jt di radar AURI Cimanggis Depok","Radar AURI Cimanggis Depok Cimanggis, Depok","Rp 790.000.000","60","1","3","2","63","yes","","yes","yes","2","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-depok-700-juta-cimanggis-cibubur-akses-3-tol.html","RUMAH MEWAH 2 LANTAI DEPOK 700 JUTA CIMANGGIS CIBUBUR AKSES 3 TOL","Pasar rebo Cimanggis, Depok","Rp 770.000.000","70","","3","2","72","yes","","yes","","","","Tidak"
"https://www.lamudi.co.id/rumah-murah-di-sawangan-depok-165864308695.html","Rumah murah di sawangan depok","Sawangan, Depok","Rp 185.000.000","50","1","2","1","36","yes","yes","yes","","","",""
"https://www.lamudi.co.id/di-jual-rumah-murah-strategis-permata-cimanggis.html","Di jual rumah murah strategis permata cimanggis","Jl. Raya Tapos Ruku Permata Cimanggis Cc, 22_25 Cimpaeun Tapos kota depok Cimanggis, Depok","Rp 742.982.000","84","","2","1","36","yes","yes","yes","","","yes",""
"https://www.lamudi.co.id/di-jual-rumah-di-citayam-siap-huni-3-km-ke-stasiun-165898294568.html","Di Jual Rumah Di Citayam Siap Huni 3 KM ke Stasiun","Indonesia, Depok, Jalan Bambon Raya Citayam, Depok","Rp 458.000.000","65","1","2","1","40","yes","","yes","","1","",""
"https://www.lamudi.co.id/rumah-di-jual-jagakarsa-jakarta-selatan-1.html","Rumah di Jual Jagakarsa - Jakarta Selatan","Cinere, Depok","Rp 1.525.000.000","77","2","4","4","120","yes","","","yes","","","Semi"
"https://www.lamudi.co.id/rumah-mewah-cinere-depok-sisa-1-unit-sisanya-indent.html","RUMAH MEWAH CINERE DEPOK SISA 1 UNIT !! SISANYA INDENT","Cinere, Depok","Rp 1.100.000.000","70","","3","3","80","yes","yes","yes","","2","",""
"https://www.lamudi.co.id/rumah-minimalis-tanpa-dp-di-sukmajaya-depok-2.html","Rumah murah minimalis tanpa DP di Sukmajaya Depok 2","Sukmajaya, Depok","Rp 850.000.000","64","2","3","3","80","","yes","","","","yes",""
"https://www.lamudi.co.id/rumah-besar-di-abdul-gani.html","RUMAH BESAR DI ABDUL GANI","ABDUL GANI 2 Kalibaru, Depok","Rp 998.000.000","177","","4","2","","yes","","yes","","","",""
"https://www.lamudi.co.id/rumah-modern-minimalis-harga-termurah-kwalitas-terbaikk-di-citayam.html","Rumah Modern Minimalis Harga TERMURAH Kwalitas TERBAIKK di Citayam","Kp Bambon Citayam, Depok","Rp 380.400.000","60","1","2","1","36","yes","","yes","","1","",""
"https://www.lamudi.co.id/permata-cimanggis-akses-dekat-pintu-tol-hanya-10-menit-ke-perumahan.html","Permata Cimanggis Akses dekat pintu TOL hanya 10 menit ke perumahan","Jl. Raya tapos ruko permata cimacimanggis Cc, 22,23,24,25 tapo kota deok Tapos, Depok","Rp 830.451.000","90","2","2","1","45","yes","yes","yes","yes","","yes",""
"https://www.lamudi.co.id/rumah-baru-siap-huni-dekat-pintu-toll-desari-di-rangkapan-jaya-depok.html","Rumah baru siap huni dekat pintu toll Desari di rangkapan jaya depok","Jl samudera rangkapan jaya depoj Rangkapan Jaya, Depok","Rp 650.000.000","75","1","2","1","45","","","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-4-kamar-termurah-lokasi-bebas-banji-166115025350.html","jual Rumah 2 Lantai di margonda 4 Kamar TerMurah Lokasi Bebas Banjir","Amara Residence Sawangan Margonda, Depok","Rp 890.000.000","101","1","3","3","78","yes","yes","yes","yes","2","",""
"https://www.lamudi.co.id/rumah-1-dan-2-lantai-dijual-di-depok-cluster-trevista-park-dp-0-free-all-in.html","RUMAH 1 DAN 2 LANTAI DIJUAL DI DEPOK CLUSTER TREVISTA PARK (DP 0% FREE ALL IN)","jln. bulak serua raya pondok petir kec.bojongsari kota.depok Pondok Petir, Depok","Rp 659.000.000","84","1","2","1","40","yes","yes","yes","","1","yes",""
"https://www.lamudi.co.id/rumah-murah-perumahan-citayam-asri-residence-165945787037.html","Rumah Murah Perumahan Citayam Asri Residence","Citayam, Depok","Rp 425.600.000","72","","2","1","40","yes","","yes","","","",""
"https://www.lamudi.co.id/rumah-mewah-2-lantai-mewah-dekat-dengan-jakarta-selatan.html","Rumah mewah 2 lantai mewah dekat dengan jakarta selatan","Depok, Depok","Rp 999.000.000","90","","3","3","","","","","","","",""
"https://www.lamudi.co.id/rumah-mewah-di-depok-hanya-dp-0.html","Rumah Mewah Di Depok Hanya Dp 0%","Jl. Pramuka Raya, Mampang, kec. Pancoran Mas, Depok Pangkalan Jati, Depok","Rp 1.200.000.000","50","1","2","2","58","yes","","","","1","yes",""
"https://www.lamudi.co.id/rumah-di-jual-lokasi-strategis-dekat-kampus-ui-jalan-raya-dan-tol-di-beji.html","Rumah di jual lokasi strategis dekat kampus UI jalan raya dan tol di beji","tanah baru Beji, Depok","Rp 1.495.000.000","98","","4","4","130","yes","","yes","yes","","",""
"https://www.lamudi.co.id/rumah-cantik-2-lantai-750jt-dekat-stasiun-depok-baru.html","Rumah cantik 2 lantai 750jt dekat stasiun Depok baru","Kemiri jaya Depok Beji, Depok","Rp 750.000.000","45","1","2","2","55","yes","","yes","","2","",""
"https://www.lamudi.co.id/rumahminimalisdepok-kpr-bsi-deket-tol-cimanggis.html","#rumahminimalisDepok | KPR BSI | deket tol cimanggis","jalan raya pekapuran Sukatani, Depok","Rp 499.999.999","62","1","2","1","40","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-murah-depok-deket-tol-cimanggis-akses-cikeas.html","#rumah-murah-Depok | deket #TOL -cimanggis | akses #cikeas","jalan raya cikeas Cimanggis, Depok","Rp 500.000.000","78","1","2","1","48","yes","yes","yes","","","",""
"https://www.lamudi.co.id/dijual-rumah-bernuansa-villa-di-kukusan-depok.html","Dijual Rumah Bernuansa Villa Di Kukusan Depok","Kukusan, Depok","Rp 7.500.000.000","1017","4","7","6","350","yes","yes","","","","yes",""
