"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_lahan_parkir","rumah_taman","rumah_keamanan","rumah_kolam_renang","rumah_balcony","rumah_AC","rumah_jumlah_lantai","rumah_fully_furnished"
"https://www.lamudi.co.id/rumah-siap-huni-di-grand-depok-city-hyar.html","Rumah Siap Huni di Grand Depok City (hyar)","Grand Depok City Cilodong, Depok","Rp 1.000.000.000","2","1","45","90","1","","yes","","","","",""
"https://www.lamudi.co.id/rumah-bagus-depok-166133764079.html","Rumah Bagus Depok Bebas Banjir Tanpa DP","Jl. H. Suhaemi Jl. Parung Tengah, RT.05/RW.03, Duren Mekar, Kec. Bojongsari, Kota Depok, Jawa Barat 16516 Sawangan, Depok","Rp 660.000.000","2","1","45","60","1","","yes","","","yes","",""
"https://www.lamudi.co.id/gratis-semua-biaya-rumah-ready-dp-0.html","GRATIS SEMUA BIAYA RUMAH READY DP 0%","JL.PARAJI KALIBARU CILODONG KOTA DEPOK Cimanggis, Depok","Rp 875.000.000","3","2","90","80","1","yes","yes","","yes","yes","2",""
"https://www.lamudi.co.id/ready-stok-rumah-kpr-dp-0-di-depok-165838908317.html","READY STOK RUMAH KPR DP 0% DI DEPOK","JL.KAV BRI KALIBARU CILODONG DEPOK Sukmajaya, Depok","Rp 890.000.000","3","3","75","70","1","yes","yes","","yes","yes","1",""
"https://www.lamudi.co.id/hunian-baru-bebas-banjir-konsep-minimalist-cantik-sukmajaya.html","Hunian Baru Bebas Banjir Konsep Minimalist Cantik Sukmajaya","Jalan tole iskandar depok jawa barat Sukmajaya, Depok","Rp 850.000.000","3","3","80","64","1","","","","","","",""
"https://www.lamudi.co.id/rumah-minimalis-dp-0-depok-tangsel-300-m-dari-jala-166667173058.html","Rumah Minimalis.DP 0.Depok.Tangsel.300 m dari jalan provinsi & mall","Bojongsari, Depok","Rp 543.000.000","2","1","48","69","15","","","","","","",""
"https://www.lamudi.co.id/br-822-rumah-dijual-siap-huni-lokasi-kedongdong-raya-depok.html","BR 822 Rumah dijual siap huni lokasi kedongdong raya depok,","jl kedongdong raya depok Cilodong, Depok","Rp 3.400.000.000","5","5","282","212","1","","yes","","","","",""
"https://www.lamudi.co.id/townhouse-kemang-1-sukmajaya-depok.html","Royal Kemang Depok, Rumah Murah 2 Lantai","Jalan Kemang 1, Depok 16461, Indonesia Sukmajaya, Depok","Rp 875.000.000","3","2","54","65","2","yes","yes","","yes","","2",""
"https://www.lamudi.co.id/rumah-ready-di-jual-16674975728.html","Rumah Ready 200 Juta KPR Pribadi Di Cipayung Depok","Jalan Jembatan Serong, Depok 16441, Indonesia Depok, Depok","Rp 275.000.000","2","1","45","75","","","","","","","",""
"https://www.lamudi.co.id/carpot-2-mobil-ready-stock-di-depok-166090123122.html","Carpot 2 mobil ready stock di depok","Beji, Depok","Rp 1.100.000.000","3","2","100","89","","yes","","","yes","yes","",""
