"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_luas_lahan","rumah_lahan_parkir","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_jumlah_lantai","rumah_AC","rumah_taman","rumah_keamanan","rumah_balcony","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/cluster-mewah-2lantai-dp-0-166364191894.html","Cluster Mewah 2Lantai DP 0%","Sawangan, Depok","Rp 594.000.000","60","","2","1","45","","yes","yes","yes","yes","",""
"https://www.lamudi.co.id/rumah-megah-tanpa-dp-siap-huni.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-minimalis-tanpa-dp-siap-huni-di-kota-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-baru-dp-0-idaman-keluarga.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-asri-tanpa-dp-siap-huni-ready-stock.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-dua-lantai-di-lingkungan-gdc-tanpa-dp.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-asri-tanpa-dp-siap-huni-di-kota-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-dua-lantai-tanpa-dp-siap-huni-1.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/tanpa-dp-hunian-satu-lantai-siap-huni.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-asri-dua-lantai-tanpa-dp-siap-huni.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-2-lantai-tanpa-dp-siap-huni.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-megah-tanpa-dp-cukup-boking-saja.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/proses-di-bantu-hunian-tanpa-dp-0-di-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/tanpa-dp-0-cukup-3jt-dapet-hunian-mewah.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/cukup-3jt-free-semua-biaya-hunian-tanpa-dp.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/hunian-mewah-akses-bagus-tanpa-dp-0-di-kota-depok.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/gratis-biaya-all-in-rumah-2-lantai-dekat-jalan-tol-166660612185.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/jual-rumah-modern-minimalist-depok-kpr-mulai-dari-166666995923.html","","","","","","","","","","","","","","",""
"https://www.lamudi.co.id/rumah-scandinavian-kpr-mulai-600jt-dp-0-dekan-tol-166676133789.html","","","","","","","","","","","","","","",""
