"rumah_url","rumah_nama","rumah_lokasi","rumah_harga","rumah_kamar_tidur","rumah_kamar_mandi","rumah_luas_bangunan","rumah_luas_lahan","rumah_AC","rumah_balcony","rumah_taman","rumah_keamanan","rumah_jumlah_lantai","rumah_lahan_parkir","rumah_kolam_renang","rumah_fully_furnished"
"https://www.lamudi.co.id/op49-cluster-exclusive-modern-2-lantai-hrg-mulai-1-166671035726.html","Op49.Cluster Exclusive Modern 2 Lantai Hrg Mulai 1,2M-an Pancoran Mas","Pancoran Mas Sawangan Depok Pancoran Mas, Depok","Rp 1.250.000.000","3","2","100","73","","","","","","2","",""
"https://www.lamudi.co.id/rumah-asri-dan-nyaman-terjangkau-berada-di-tengah-16681510419.html","Rumah Asri dan Nyaman Terjangkau Berada di Tengah Kota Depok","Depok Depok, Depok","Rp 700.000.000","2","1","48","78","yes","","yes","yes","","1","",""
"https://www.lamudi.co.id/rumah-2-lantai-dekat-jalan-raya-1.html","Rumah 2 lantai dekat jalan raya KSU depok","Cilodong, Depok","Rp 925.000.000","3","3","80","82","","","yes","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-mewah-samping-alun-alun-kota-depok.html","Rumah 2 lantai mewah samping alun alun kota Depok","Cilodong, Depok","Rp 985.000.000","3","3","80","79","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-tanpa-dp-nempel-jalan-raya-utama-166496259797.html","Rumah 2 lantai tanpa DP nempel jalan raya utama","Cilodong, Depok","Rp 1.050.000.000","3","3","120","98","yes","","yes","","","","",""
"https://www.lamudi.co.id/rumah-2-lantai-mewah-kaum-milineal-166530332854.html","Rumah 2 lantai mewah kaum milineal","Cilodong, Depok","Rp 925.000.000","3","3","80","83","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/hanya-1-unit-terakhir-rumah-siap-huni-166545828387.html","Hanya 1 unit terakhir,rumah siap huni","Kalimulya, Depok","Rp 651.000.000","2","2","60","87","yes","","yes","yes","","1","",""
"https://www.lamudi.co.id/rumah-cantik-minimalis-siap-huni-tanpa-dp-0-166554997213.html","Rumah cantik minimalis siap huni tanpa DP 0","Cilodong, Depok","Rp 651.000.000","2","2","60","87","yes","","yes","yes","","1","",""
"https://www.lamudi.co.id/hunian-mewah-dipinggir-jalan-raya-utama-166609456149.html","Hunian mewah dipinggir jalan raya utama","Cilodong, Depok","Rp 1.050.000.000","3","3","120","89","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/booking-sekarang-pasti-langsung-untung-166609472125.html","booking sekarang pasti langsung untung","Cilodong, Depok","Rp 735.000.000","2","2","60","72","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-keren-untuk-pilihan-anda-166609489623.html","Rumah keren untuk pilihan anda","Cilodong, Depok","Rp 925.000.000","3","3","80","81","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/hunian-terbaik-dekat-pusat-pemerintahan-kota-depok-166618046386.html","HUNIAN TERBAIK DEKAT PUSAT PEMERINTAHAN KOTA DEPOK","Cilodong, Depok","Rp 925.000.000","3","3","80","83","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-ready-yuk-booking-sekarang-166636153240.html","Rumah ready,yuk booking sekarang","Kalimulya, Depok","Rp 650.000.000","2","2","60","87","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/promo-khusus-unit-terakhir-free-semua-biaya-surat-166675411185.html","promo khusus unit terakhir,free semua biaya surat-surat","Cilodong, Depok","Rp 650.000.000","2","2","60","87","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/beli-rumah-langsung-untung-166675429360.html","beli rumah langsung untung","Kalimulya, Depok","Rp 650.000.000","2","2","60","87","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/hunian-untuk-keluarga-besar-siap-huni-166675470198.html","Hunian untuk keluarga besar,siap huni","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/mewah-kekinian-cocok-buat-keluarga-anda-166684544155.html","Mewah kekinian,cocok buat keluarga anda","Cilodong, Depok","Rp 924.455.000","3","3","80","80","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/booking-empat-juta-langsung-akad-166684563461.html","Booking empat juta langsung Akad","Cilodong, Depok","Rp 925.000.000","3","3","80","80","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/design-mewah-cocok-buat-anak-istri-166686377936.html","Design mewah,cocok buat anak istri","Kalimulya, Depok","Rp 650.000.000","2","2","60","87","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/spesial-rumah-tanpa-dp-0-166737426255.html","spesial rumah tanpa DP 0","Cilodong, Depok","Rp 530.000.000","2","1","40","66","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/survey-lokasinya-booking-unitnya-166737439155.html","survey lokasinya, booking unitnya","Cilodong, Depok","Rp 670.000.000","2","1","45","90","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/survey-dulu-pasti-langsung-cocok-166744748053.html","survey dulu pasti langsung cocok","Kalimulya, Depok","Rp 683.000.000","2","2","60","90","yes","","yes","yes","","","",""
"https://www.lamudi.co.id/dp-0-cukup-booking-aj-langsung-akad-166765211913.html","DP 0 %,cukup booking aj langsung Akad","Cilodong, Depok","Rp 921.000.000","3","3","80","80","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/dijual-cepat-rumah-mewah-dipinggir-jalan-raya-166816075240.html","dijual cepat rumah mewah dipinggir jalan raya","Cilodong, Depok","Rp 1.050.000.000","3","3","120","86","yes","yes","yes","yes","","","",""
"https://www.lamudi.co.id/rumah-sultan-siap-jadi-milik-anda-gk-pake-depe-0-16682932420.html","Rumah sultan siap jadi milik anda,gk pake depe 0","Kalimulya, Depok","Rp 900.000.000","3","3","80","75","yes","yes","yes","yes","","","",""
